;subjective_gain_numeric_fuel;subjective_gain_numeric_chauffage;subjective_gain_numeric_taxe_carbone
213;-385.5603885900517;-160.05695350597898;-280.11435919710675
214;-161.86586489443926;-374.6628181737019;-570.0105692176203
215;-237.43322123804262;-515.4713024746252;-415.9597976278542
216;-161.86586489443926;-462.787338817473;-280.11435919710675
217;-161.86586489443926;-160.05695350597898;-280.11435919710675
218;-253.8510412230762;-434.32074078546975;-280.11435919710675
219;-248.67400773746976;-323.73463334890494;-405.5885722240391
220;-161.86586489443926;-256.3431001673301;-341.492120256763
221;-385.5603885900517;-369.53265679808374;-280.11435919710675
222;-385.5603885900517;-204.35531010826116;-280.11435919710675
223;-456.15595969421094;-427.82078115811237;-535.8767380446197
224;-237.43322123804262;-442.49488440031655;-408.9421976800986
225;-277.3601337834807;-427.82078115811237;-405.5885722240391
226;-248.67400773746976;-384.95950238335956;-280.11435919710675
227;-385.5603885900517;-451.5830095810422;-280.11435919710675
228;-277.3601337834807;-259.52750575396203;-280.11435919710675
229;-237.43322123804262;-590.5948937072035;-597.6015713287527
230;-210.3187600068577;-465.5885722240391;-535.8767380446197
231;-169.7997839474725;-160.05695350597898;-526.657529828099
232;-161.86586489443926;-160.05695350597898;-280.11435919710675
233;-277.3601337834807;-472.60339447281694;-280.11435919710675
234;-251.77045136649244;-465.5885722240391;-280.11435919710675
235;-174.3774719457239;-160.05695350597898;-476.6744031296903
236;-210.3187600068577;-427.82078115811237;-570.0105692176203
237;-174.3774719457239;-326.91979201803844;-505.02024993174945
238;-161.86586489443926;-332.9233650475403;-399.8889035435077
239;-385.5603885900517;-160.05695350597898;-405.5885722240391
240;-210.3187600068577;-160.05695350597898;-391.586775983083
241;-421.2587119765485;-232.7823669119231;-651.1106988622079
242;-161.86586489443926;-160.05695350597898;-385.4612103106506
243;-277.3601337834807;-205.88670741414444;-380.2703041403179
244;-385.5603885900517;-275.18845108393117;-604.420531528744
245;-222.2523232522759;-451.5830095810422;-308.04308273254264
246;-248.67400773746976;-160.05695350597898;-280.11435919710675
247;-161.86586489443926;-352.55908036783967;-505.02024993174945
248;-161.86586489443926;-434.32074078546975;-468.6514533800871
249;-237.43322123804262;-515.4713024746252;-485.1574623469911
250;-161.86586489443926;-408.3476903670635;-449.42427246446414
251;-194.3501881563619;-408.3476903670635;-439.8085154229441
252;-251.77045136649244;-541.1919427624438;-280.11435919710675
253;-263.34128543179486;-160.05695350597898;-476.6744031296903
254;-385.5603885900517;-160.05695350597898;-280.11435919710675
255;-161.86586489443926;-160.05695350597898;-300.67604799527976
256;-161.86586489443926;-171.64157015406906;-432.034576365028
257;-385.5603885900517;-408.3476903670635;-651.1106988622079
258;-163.16534970774228;-451.5830095810422;-280.11435919710675
259;-277.3601337834807;-160.05695350597898;-280.11435919710675
260;-237.43322123804262;-337.09553681200424;-505.02024993174945
