;distrteg;v1_btravdist;v1_btravmtp;mode;poids_qind1
17082;9.4;5.0;3.30;3;505.81067999
17083;;15.0;3.30;3;505.81067999
17085;;16.0;3.31;3;644.23828589
17086;;16.0;3.32;3;644.45467928
17087;9.4;10.0;4.43;4;1358.6048963
17088;14.7;20.0;3.31;3;679.14064207
17089;;;;;564.35377891
17090;;;;;913.72775347
17091;10.9;15.0;3.30;3;634.67726846
17092;9.4;8.0;3.32;3;1858.5548623
17093;;;;;760.8026145
17094;1.8;3.0;3.30;3;761.05816072
17095;10.5;10.0;3.30;3;757.94959146
17096;7.2;8.0;4.43;4;1275.8260375
17097;19.2;25.0;3.30;3;560.33954472
17098;32.6;35.0;3.30;3;560.52775734
17099;;0.1;1.10;1;1089.8099839
17100;;0.1;1.10;1;558.24333616
17101;3.7;5.0;3.30;3;1325.6360074
17102;14.2;18.0;3.30;3;1325.1908886
17103;3.7;5.0;4.43;4;2222.2755391
17104;5.4;8.5;3.30;3;1519.2103934
17105;14.2;18.0;4.43;4;5093.5612448
17106;3.7;3.5;3.31;3;382.29382229
17107;3.7;4.0;3.30;3;382.16545663
17108;3.7;3.5;3.32;3;845.24831345
17109;15.7;17.0;3.30;3;777.66383335
17110;0.0;3.0;3.30;3;629.62089716
17112;3.7;3.0;3.30;3;629.40948462
17113;0.0;1.5;3.30;3;627.0491881
17114;13.3;12.0;3.30;3;766.25680612
17115;15.6;22.0;3.30;3;766.51418434
17116;8.7;10.0;3.30;3;1380.4811466
17117;13.3;13.0;3.30;3;1380.5819699
17118;;0.1;1.10;1;1380.5940366
17119;1.8;2.0;3.32;3;1380.5945196
17120;1.8;1.5;3.30;3;1658.0922004
17121;13.3;15.0;3.30;3;1658.6491375
17122;5.4;7.0;2.22;2;1747.921268
17124;;;;;221.4511237
17125;;0.5;1.10;1;310.12918088
17126;;0.5;1.10;1;221.45344371
17127;;;;;221.44102495
17128;26.8;30.0;3.30;3;180.11245815
17129;;0.1;1.10;1;181.49091733
17130;;0.1;1.10;1;191.36547691
17131;;20.0;2.22;2;191.36547691
17132;7.0;8.0;3.30;3;93.71981541
17134;5.7;8.0;4.43;4;154.66778593
17135;29.8;35.0;3.30;3;205.19245678
17136;;2.0;3.32;3;216.03919027
17137;;;;;216.02707513
17138;;;;;136.26430205
17139;10.6;13.0;3.30;3;137.30717703
17140;7.8;8.0;4.43;4;224.87984859
17141;31.8;37.0;3.31;3;113.15596501
17142;24.2;30.0;5.58;5;114.02198439
17143;24.2;30.0;5.52;5;407.38444253
17144;31.8;32.0;3.30;3;105.96286185
17145;12.1;12.0;3.30;3;105.96910195
17146;;3.5;3.32;3;148.4034501
17147;;3.5;3.32;3;105.97021212
17148;;2.4;3.30;3;190.60954742
17149;39.4;43.0;3.30;3;200.67148994
17150;;0.0;1.10;1;200.6741557
17152;;0.0;1.11;1;200.6741557
17153;;2.0;3.30;3;131.22982669
17154;;35.0;3.30;3;132.2341712
17155;;0.6;3.32;3;370.3722475
17156;;1.5;2.20;2;88.965570146
17157;21.9;15.0;3.30;3;89.646452567
17158;;;;;99.657823455
17159;26.6;25.0;3.30;3;100.42053717
17160;;0.0;;;317.65265617
17161;16.2;17.0;3.30;3;116.50466546
17163;;;;;110.66296244
17164;;;;;133.68952055
17165;;;;;132.67412237
17166;12.3;3.0;3.30;3;126.97866773
17168;;3.0;3.30;3;145.63107561
17169;21.9;25.0;3.30;3;146.74563756
17170;;32.0;3.30;3;154.72977563
17171;;;;;132.11512393
17172;20.0;22.0;3.30;3;133.12624391
17173;8.7;10.0;4.43;4;109.01618626
17174;;;;;176.25526348
17175;8.7;7.0;3.33;3;136.44626933
17176;13.0;1.5;2.20;2;324.99222644
17177;;45.0;3.30;3;328.74979685
17179;;4.0;3.32;3;531.70726304
17180;;19.0;3.31;3;363.71299036
17181;;35.0;3.30;3;361.74812961
17182;;0.5;1.10;1;295.92109019
17183;;1.0;3.32;3;361.65777095
17184;;;;;215.43240376
17185;13.0;15.0;3.30;3;318.23504703
17186;;50.0;3.30;3;314.51234614
17187;;5.0;3.32;3;514.70111155
17188;;5.0;3.32;3;314.51907769
17189;;25.0;3.30;3;210.39668767
17190;;45.0;3.33;3;207.9354756
17191;;7.0;3.30;3;222.39933246
17192;;;;;161.49393182
17193;37.4;30.0;3.30;3;162.37109762
17195;;21.0;4.43;4;249.83081461
17196;;42.0;3.30;3;119.28849977
17197;10.8;9.0;3.30;3;103.80015176
17198;;;;;103.23939961
17199;14.2;19.0;4.43;4;199.19548227
17200;11.0;17.0;3.31;3;344.42604614
17201;11.0;12.0;3.31;3;342.56537786
17202;20.0;20.0;3.32;3;363.59275086
17203;;;;;273.33221997
17204;8.1;8.0;3.30;3;276.49249575
17205;;1.5;4.43;4;447.18831639
17206;;;;;148.26905179
17207;20.0;15.0;3.30;3;149.98334326
17209;8.1;6.0;4.43;4;572.15608363
17210;20.0;23.0;3.30;3;85.940322884
17211;11.0;13.0;3.30;3;111.91767723
17212;;3.0;3.30;3;173.43688296
17213;;;;;172.49993726
17214;11.0;10.0;4.43;4;447.59134828
17215;25.4;32.0;3.30;3;279.97145404
17216;;;;;276.69635913
17217;;3.0;3.32;3;276.7022813
17218;30.4;30.0;3.30;3;135.75665984
17219;25.4;25.0;3.30;3;134.16858385
17220;3.8;8.0;3.30;3;196.8761616
17222;;4.0;3.32;3;195.76368083
17223;;;;;109.33537177
17224;37.2;40.0;3.30;3;109.92923464
17225;195.6;2.0;3.30;3;190.91006016
17226;;3.0;3.32;3;156.1702978
17227;;3.0;3.32;3;190.86237401
17228;;;;;190.86237401
17229;;0.4;2.20;2;433.0003692
17230;;;;;82.816452645
17231;6.0;7.0;4.43;4;128.11689947
17232;;4.0;3.32;3;82.795766475
17233;;4.0;3.32;3;82.795766475
17234;18.1;20.0;4.43;4;225.54776662
17235;6.4;9.0;3.30;3;361.68146838
17236;31.3;35.0;3.30;3;365.96248292
17237;;;;;197.78981988
17238;9.4;12.0;3.30;3;198.86412939
